year,region,region_oktmo,city,city_oktmo,air_general_level,air_standard_index,air_repeatability,air_qcp,air_solid_emissions,air_so_emissions,air_no_emissions,air_co_emissions,air_population,air_stantions
2007,Иркутская область,25000000,ИРКУТСК,25701000,4,No substance,No substance,"Ф, NO2, БП, ВВ, NO",8.1,23.4,8.5,6.7,578.1,4+1
2007,Иркутская область,25000000,КУЛТУК,25634162,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,4.2,1
2007,Иркутская область,25000000,ЛИСТВЯНКА,25612160,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,1.8,1
2007,Иркутская область,25000000,МЕГЕТ,25703000,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,8.8,1
2007,Иркутская область,25000000,САЯНСК,25726000,2,No substance,No substance,"БП, Ф",3.7,12.3,2.5,0.4,43.8,1
2007,Иркутская область,25000000,СВИРСК,25746000,1,No substance,No substance,NO2,1.9,0.2,0.1,0.5,14.7,1
2007,Иркутская область,25000000,СЛЮДЯНКА,25634101,1,No substance,No substance,No substance,1.2,0.3,0.2,0.4,18.8,1
2007,Иркутская область,25000000,ТУЛУН,25732000,1,No substance,No substance,NO2,-1.0,-1.0,-1.0,-1.0,49.4,1
2007,Иркутская область,25000000,УСОЛЬЕ-СИБИРСКОЕ,25736000,3,No substance,No substance,"ВВ, БП, NO2",7.9,14.6,5.0,4.1,86.9,2
2007,Иркутская область,25000000,УСТЬ-ИЛИМСК,25738000,2,No substance,No substance,"БП, ВВ, NO2",17.2,5.9,5.1,4.3,99.3,3
2007,Иркутская область,25000000,ЧЕРЕМХОВО,25745000,3,No substance,No substance,"БП, NO2",2.3,3.3,0.5,0.9,55.6,2
2007,Иркутская область,25000000,ШЕЛЕХОВ,25655101,3,Ф,No substance,"ВВ, БП, Ф",11.9,4.0,1.5,10.8,48.3,2
2007,Калининградская область,27000000,КАЛИНИНГРАД,27701000,3,No substance,No substance,"БП, Ф, NO2",1.7,1.8,2.0,3.7,422.4,5
2007,Калужская область,29000000,КАЛУГА,29701000,2,No substance,No substance,"БП, NO2",0.5,0.1,1.3,1.8,327.5,2
2007,Камчатский край,30000000,ЕЛИЗОВО,30607101,3,No substance,No substance,"Ф, NO2, NO",1.8,0.9,0.3,1.8,39.8,1
2007,Камчатский край,30000000,ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ,30701000,3,No substance,No substance,"Ф, БП",1.5,14.6,2.1,2.8,195.1,5
2007,Карачаево-Черкесская Республика,91000000,ЧЕРКЕССК,91701000,1,No substance,No substance,No substance,0.2,0.001,0.2,0.5,121.2,1
2007,Кемеровская область,32000000,КЕМЕРОВО,32701000,3,No substance,No substance,"NO2, БП, NH3, Ф",10.1,14.6,15.7,8.6,519.8,8
2007,Кемеровская область,32000000,НОВОКУЗНЕЦК,32731000,4,No substance,No substance,"ВВ, NO2, БП, Ф",51.1,38.2,19.4,277.4,560.9,8
